title,authors,average_rating,language_code,num_pages,ratings_count,publication_date,publisher,year
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,eng,272,16588,4/15/2004,Vintage,2004
The Curious Incident of the Dog In the Night-time,Mark Haddon,3.88,eng,268,6124,4/1/2004,Red Fox,2004
The Curious Incident of the Dog in the Night-time,Mark Haddon,3.88,eng,240,34,3/28/2006,Doubleday Canada,2006
Northern Lights,Tim O'Brien,3.29,eng,372,981,9/1/1999,Broadway Books,1999
If I Die in a Combat Zone  Box Me Up and Ship Me Home,Tim O'Brien,3.95,eng,225,7763,9/1/1999,Broadway Books,1999
Going After Cacciato,Tim O'Brien,3.91,eng,351,10384,9/1/1999,Broadway/Crown Publishing Group,1999
In the Lake of the Woods,Tim O'Brien,3.78,eng,303,14655,9/1/2006,Mariner Books,2006
The Nuclear Age,Tim O'Brien,3.45,eng,320,945,12/1/1996,Penguin Books,1996
The Rescue,Nicholas Sparks,4.11,eng,352,154933,4/1/2005,Grand Central Publishing,2005
A Bend in the Road,Nicholas Sparks,4.03,eng,341,125693,4/1/2005,Grand Central Publishing,2005
True Believer (Jeremy Marsh & Lexie Darnell  #1),Nicholas Sparks,3.8,eng,465,68228,4/11/2006,Grand Central Publishing,2006
Three Weeks With My Brother,Nicholas Sparks,4.03,eng,368,36784,1/3/2006,Grand Central Publishing,2006
The Wedding (The Notebook  #2),Nicholas Sparks,3.99,eng,276,126629,8/1/2005,Vision,2005
El Guardián,Nicholas Sparks,4.15,spa,444,31,4/1/2005,Roca Editorial,2005
Nights in Rodanthe,Nicholas Sparks,3.84,en-US,212,1596,8/1/2004,Warner Books,2004
Message in a Bottle,Nicholas Sparks,3.96,en-GB,370,2755,2/1/1999,Grand Central Publishing,1999
A Walk to Remember,Nicholas Sparks,4.17,eng,240,555995,9/1/2004,Grand Central Publishing,2004
Icy Sparks,Gwyn Hyman Rubio,3.7,eng,320,37936,3/8/2001,Penguin Books,2001
Message in a Bottle,Nicholas Sparks,3.96,eng,342,201488,12/1/1999,Warner Books,1999
Sugarplums and Scandal  (Love at Stake #2.5; Bed-and-Breakfast Mysteries #22.5),Lori Avocato,3.98,eng,327,1967,10/31/2006,Avon,2006
Special Topics in Calamity Physics,Marisha Pessl,3.71,eng,514,32370,8/3/2006,Penguin Books Ltd,2006
The Dictionary of Corporate Bullshit: An A to Z Lexicon of Empty  Enraging  and Just Plain Stupid Office Talk,Lois Beckwith,4.03,eng,192,82,2/14/2006,Three Rivers Press,2006
On Truth,Harry G. Frankfurt,3.52,en-US,112,790,10/31/2006,Knopf,2006
Twelve Sharp (Stephanie Plum  #12),Janet Evanovich,4.15,eng,310,81381,6/20/2006,St. Martin's Press,2006
Sharp Edges,Jayne Ann Krentz,3.86,eng,368,2792,7/27/2004,Pocket Star Books,2004
Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations of Comfort & Joy,Sarah Ban Breathnach,4.08,en-US,256,317,12/31/2001,Scribner Book Company,2001
The Sly Spy (Olivia Sharp  Agent for Secrets #3),Marjorie Weinman Sharmat,3.85,eng,74,51,6/14/2005,Yearling Books,2005
The Green Toenails Gang (Olivia Sharp  Agent for Secrets #4),Marjorie Weinman Sharmat,3.77,eng,72,41,7/12/2005,Yearling Books,2005
The Pizza Monster (Olivia Sharp  Agent for Secrets #1),Marjorie Weinman Sharmat,3.54,eng,80,56,5/10/2005,Yearling,2005
The Spy Who Barked (Adam Sharp #1),George E. Stanley,3.43,eng,48,26,4/9/2002,Random House Books for Young Readers,2002
Kare First Love  Vol. 9 (Kare First Love  #9),Kaho Miyasaka,4.06,eng,208,612,9/12/2006,VIZ Media LLC,2006
The World's First Love: Mary  Mother of God,Fulton J. Sheen,4.59,en-US,276,641,9/1/1996,Ignatius Press,1996
Kare First Love  Vol. 10 (Kare First Love  #10),Kaho Miyasaka,4.09,eng,208,715,12/12/2006,VIZ Media LLC,2006
The Tutor's First Love,George MacDonald,4.08,eng,238,364,7/1/2000,Bethany House Publishers,2000
First Love,Ivan Turgenev,3.78,eng,124,5856,9/1/2004,Melville House Publishing,2004
Love @ First Site,Jane Moore,3.41,en-US,368,910,5/9/2006,Broadway Books,2006
First Love  Second Chance,Amanda Clark,3.73,eng,304,13,2/22/1995,Harlequin Superromance,1995
The Modern Prince: Charles J. Haughey and the Quest for Power,Justin   O'Brien,3.5,eng,212,4,4/28/2003,Merlin Publishing,2003
The Modern Prince and Other Writings,Antonio Gramsci,3.89,eng,192,118,10/1/1959,International Publishers,1959
Emily of New Moon (Emily  #1),L.M. Montgomery,4.1,eng,339,38411,4/1/1983,Dell Laurel-Leaf,1983
The Selected Journals Of L.M. Montgomery  Vol. 5: 1935-1942,L.M. Montgomery,4.24,eng,410,184,11/4/2004,Oxford University Press  USA,2004
Against the Odds: Tales of Achievement,L.M. Montgomery,3.83,en-US,246,928,11/1/1994,Bantam Starfire,1994
Anne of Avonlea,L.M. Montgomery,4.23,eng,8,63,12/1/1998,Blackstone Audiobooks,1998
A Tangled Web,L.M. Montgomery,3.88,eng,288,3760,8/1/1989,Seal Books,1989
The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),L.M. Montgomery,4.43,eng,2088,98611,10/6/1998,Starfire,1998
Pat of Silver Bush (Pat  #1),L.M. Montgomery,3.9,eng,288,6082,6/1/1988,Seal Books,1988
Sherlock Holmes: The Complete Novels and Stories  Volume I,Arthur Conan Doyle,4.47,eng,1059,24087,8/26/1986,Bantam Classics,1986
The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle,4.64,eng,1878,1411,11/30/2004,W. W. Norton & Company,2004
The New Annotated Sherlock Holmes: The Novels,Arthur Conan Doyle,4.53,eng,907,2203,11/7/2005,W. W. Norton & Company,2005
The Science of Sherlock Holmes: From Baskerville Hall to the Valley of Fear  the Real Forensics Behind the Great Detective's Greatest Cases,E.J. Wagner,4.22,eng,244,2037,3/1/2006,Wiley,2006
Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle,3.96,eng,6,18,4/20/2006,HighBridge Company,2006
Sherlock Holmes: The Unauthorized Biography,Nick Rennison,4.26,eng,304,29,10/11/2006,Atlantic Monthly Press,2006
Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),NOT A BOOK,4.0,eng,0,7,10/3/2006,Simon  Schuster Audio,2006
The Mysteries of Sherlock Holmes,Arthur Conan Doyle,4.18,eng,218,119,10/15/1996,Grosset & Dunlap,1996
The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.33,eng,334,2184,7/1/2001,Gramercy Books,2001
The Unfortunate Tobacconist & Other Mysteries (Sherlock Holmes 1-6),NOT A BOOK,3.5,eng,0,12,10/1/2003,Simon & Schuster Audio,2003
Personal Finance For Dummies,Eric Tyson,3.77,en-GB,458,114,10/1/2006,For Dummies,2006
Personal Finance for Dummies,Eric Tyson,3.77,eng,454,925,8/1/2003,John Wiley & Sons,2003
Catching Alice,Clare Naylor,3.38,en-US,328,948,10/31/2000,Ballantine Books,2000
The Dream Giver,Bruce H. Wilkinson,4.26,eng,157,5044,9/3/2003,Multnomah Books,2003
The Giver (The Giver  #1),Lois Lowry,4.13,eng,208,1585589,1/24/2006,Ember,2006
The Wish Giver: Three Tales of Coven Tree,Bill Brittain,3.83,eng,192,2201,4/2/2019,HarperCollins,2019
Indian Givers: How the Indians of the Americas Transformed the World,Jack Weatherford,4.11,eng,288,1760,11/29/1989,Ballantine Books,1989
The Last Life,Claire Messud,3.56,eng,400,1426,9/28/2000,Mariner Books,2000
The Hunters,Claire Messud,3.42,eng,200,406,5/18/2003,Picador,2003
When the World Was Steady,Claire Messud,3.17,eng,270,481,9/1/1995,Granta,1995
The Sea,John Banville,3.51,eng,195,19308,8/15/2006,Vintage,2006
The Sea,John Banville,3.51,eng,195,586,12/7/2005,Alfred A. Knopf,2005
The Book of Evidence (The Freddie Montgomery Trilogy #1),John Banville,3.71,eng,220,3202,6/12/2001,Vintage,2001
Athena (The Freddie Montgomery Trilogy #3),John Banville,3.66,eng,240,387,5/28/1996,Vintage,1996
Doctor Copernicus  (The Revolutions Trilogy #1),John Banville,3.65,eng,242,583,10/12/1993,Vintage,1993
Shroud (The Cleave Trilogy #2),John Banville,3.66,eng,257,974,6/8/2004,Vintage,2004
Ghosts,John Banville,3.61,eng,244,33,12/17/1998,Picador,1998
On Beauty,Zadie Smith,3.73,eng,445,53736,8/29/2006,Penguin Books,2006
A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,3.79,eng,403,189652,12/9/2003,Simon and Schuster,2003
The Black Book of Hollywood Beauty Secrets,Kym Douglas,3.37,en-US,224,130,12/1/2006,Plume Books,2006
Black Beauty,Anna Sewell,3.96,eng,245,208684,3/1/2003,Scholastic Paperbacks,2003
Truth and Beauty,Ann Patchett,3.94,eng,257,31134,4/5/2005,Harper Perennial,2005
The Life of Graham Greene  Vol. 1: 1904-1939,Norman Sherry,4.11,en-US,816,170,9/7/2004,Penguin Books,2004
Complete Short Stories,Graham Greene,4.17,eng,594,1122,2/1/2005,Penguin Classics,2005
The Power and the Glory,Graham Greene,4.0,eng,222,25490,2/25/2003,Penguin Books,2003
The Heart of the Matter,Graham Greene,3.99,eng,272,21842,10/7/2004,Vintage Classics,2004
Orient Express,Graham Greene,3.46,eng,197,2064,8/31/2004,Penguin Classics,2004
Journey Without Maps,Graham Greene,3.6,eng,272,1139,6/27/2006,Penguin Classics,2006
The Quiet American,Graham Greene,3.97,eng,180,37620,8/31/2004,Penguin Classics Deluxe Editions,2004
Collected Short Stories,Graham Greene,3.98,eng,368,295,4/1/1993,Penguin Books,1993
The Third Man & The Fallen Idol,Graham Greene,3.77,eng,157,1322,7/1/1992,Penguin Books Ltd,1992
The Tenth Man,Graham Greene,3.73,eng,160,2910,2/1/1998,Washington Square Press,1998
The Autograph Man,Zadie Smith,3.16,eng,347,9541,6/17/2003,Vintage,2003
White Teeth,Zadie Smith,3.77,eng,448,102370,6/12/2001,Vintage,2001
Stranger than Fiction,Chuck Palahniuk,3.57,eng,233,18210,5/10/2005,Anchor,2005
Great Short Works of Herman Melville,Herman Melville,4.04,eng,512,424,3/2/2004,Harper Perennial Modern Classics,2004
Selected Poems of Herman Melville,Herman Melville,3.77,eng,512,12,9/10/2004,David R. Godine Publisher,2004
Redburn / White-Jacket / Moby-Dick,Herman Melville,4.2,eng,1436,1031,4/15/1983,Library of America,1983
Pierre / Israel Potter / The Piazza Tales / The Confidence-Man / Uncollected Prose / Billy Budd,Herman Melville,4.18,eng,1478,348,4/1/1985,Library of America,1985
Redburn,Herman Melville,3.62,eng,448,545,8/26/1976,Penguin Classics,1976
Typee / Omoo / Mardi,Herman Melville,3.55,eng,1333,644,5/6/1982,Library of America,1982
Harriet Spies Again (Harriet the Spy Adventures  #1),Helen Ericson,3.84,eng,256,1360,8/26/2003,Yearling,2003
Harriet the Spy  Double Agent (Harriet the Spy Adventures),Maya Gold,3.8,eng,160,1,9/13/2005,Delacorte Books for Young Readers,2005
Moonraker (James Bond  #3),Ian Fleming,3.74,eng,247,15204,12/31/2002,Penguin Books,2002
Moonraker's Bride,Madeleine Brent,4.31,eng,319,55,6/12/1978,Fawcett,1978
Dr No / Moonraker / Thunderball / From Russia with Love / On Her Majesty's Secret Service / Goldfinger,Ian Fleming,3.98,eng,862,0,1/1/1984,Heinemann-Octopus,1984
Casino Royale (James Bond  #1),Ian Fleming,3.73,eng,181,48961,8/27/2002,Penguin,2002
Goldfinger (James Bond  #7),Ian Fleming,3.8,eng,264,16055,8/27/2002,Penguin Books,2002
On Her Majesty's Secret Service (James Bond  #11),Ian Fleming,3.96,eng,326,14108,9/2/2003,Penguin Books,2003
Octopussy & the Living Daylights (James Bond  #14),Ian Fleming,3.55,eng,120,5074,4/6/2004,Penguin Books,2004
Book of Sketches,Jack Kerouac,3.8,eng,432,572,4/4/2006,Penguin Books,2006
The Dharma Bums,Jack Kerouac,3.92,en-GB,204,1361,8/3/2000,Penguin Books Ltd,2000
Book of Haikus,Jack Kerouac,3.91,eng,200,25,3/2/2004,Enitharmon Press,2004
The Subterraneans,Jack Kerouac,3.68,eng,192,426,9/6/2007,Penguin Books Ltd,2007
Ballet Shoes,Noel Streatfeild,4.07,eng,184,210,12/23/2004,Orion Children's Books,2004
Theater Shoes (Shoes  #4),Noel Streatfeild,4.02,eng,272,4461,11/15/1994,Yearling,1994
Movie Shoes (Shoes  #6),Noel Streatfeild,4.0,eng,239,1351,5/1/1984,Yearling Books,1984
Party Shoes (Shoes  #5),Noel Streatfeild,3.64,en-US,243,430,9/1/2002,Oxford University Press  USA,2002
Thursday's Child (Margaret Thursday  #1),Noel Streatfeild,3.98,eng,256,1059,12/1/1985,Yearling,1985
Miss Happiness and Miss Flower,Rumer Godden,4.27,eng,104,913,9/1/2006,MacMillan UK,2006
The River,Rumer Godden,3.95,eng,128,377,4/16/2004,Pan,2004
The Dolls' House,Rumer Godden,4.01,eng,153,1410,11/3/2006,Macmillan,2006
China Court: The Hours of a Country House,Rumer Godden,3.97,eng,358,516,12/31/1993,William Morrow & Company,1993
Rumer Godden,Anne Chisholm,3.82,eng,335,9,6/11/1999,Pan,1999
The Corrections,Jonathan Franzen,3.79,eng,653,133237,9/2/2002,Fourth Estate Paperbacks,2002
Creative Correction: Extraordinary Ideas For Everyday Discipline,Lisa Whelchel,3.93,en-US,367,1094,3/31/2010,Thomas Nelson,2010
Original Sin (Adam Dalgliesh #9),P.D. James,3.91,eng,511,6736,12/2/2005,Grand Central Publishing,2005
Original Sin: Illuminating the Riddle,Henri Blocher,3.68,eng,158,64,10/2/2000,IVP Academic,2000
An Original Sin,Nina Bangs,3.75,eng,394,369,7/1/1999,Love Spell,1999
Aliens: Original Sin,Michael Jan Friedman,3.71,eng,256,247,10/26/2005,Dark Horse Books,2005
Death in Holy Orders (Adam Dalgliesh  #11),P.D. James,3.92,eng,429,9847,3/26/2002,Fawcett Books,2002
The Lighthouse (Adam Dalgliesh #13),P.D. James,3.81,eng,383,10651,10/10/2006,Vintage,2006
Unnatural Causes (Adam Dalgliesh #3),P.D. James,3.94,eng,218,9258,5/20/2002,Penguin Books in association with Faber & Faber,2002
Death of an Expert Witness (Adam Dalgliesh #6),P.D. James,3.99,eng,306,8045,5/20/2002,Gardners Books,2002
A Mind To Murder (Adam Dalgliesh  #2),P.D. James,3.82,eng,225,39,5/20/2002,Gardners Books,2002
A Taste for Death (Adam Dalgliesh  #7),P.D. James,4.02,eng,459,10304,11/8/2005,Vintage,2005
Time To Be In Earnest: A Fragment Of Autobiography,P.D. James,3.93,eng,306,495,2/27/2001,Ballantine Books,2001
Cover Her Face (Adam Dalgliesh #1),P.D. James,3.93,eng,250,26375,5/8/2001,Scribner,2001
The Black Tower (Adam Dalgliesh #5),P.D. James,4.0,eng,352,13801,10/2/2001,Scribner,2001
Innocent Blood,P.D. James,3.68,eng,400,3793,8/2/2001,Scribner,2001
Don Quixote,Miguel de Cervantes Saavedra,3.87,eng,940,4956,4/26/2005,Ecco,2005
Don Quixote,Miguel de Cervantes Saavedra,3.87,eng,1023,160911,2/25/2003,Penguin Books,2003
Don Quixote,Miguel de Cervantes Saavedra,3.87,en-US,544,71,6/3/2003,Signet Classics,2003
Don Quixote,Miguel de Cervantes Saavedra,3.87,eng,1168,393,4/10/2001,Modern Library,2001
Lectures on Don Quixote,Vladimir Nabokov,3.87,eng,240,275,4/18/1984,Harcourt Brace Jovanovich,1984
Cliffs Notes on Cervantes' Don Quixote,Marianne Sturman,3.61,eng,96,21,7/8/1964,Cliffs Notes,1964
Desert Heat (Joanna Brady  #1),J.A. Jance,4.0,eng,256,41,9/1/2004,Severn House Publishers,2004
Kentucky Heat,Fern Michaels,4.19,eng,383,1869,9/1/2002,Zebra,2002
Heat Wave: A Social Autopsy of Disaster in Chicago,Eric Klinenberg,3.86,eng,320,732,7/15/2003,University Of Chicago Press,2003
Texas Heat (Texas  #2),Fern Michaels,4.18,eng,496,2025,11/27/2001,Ballantine Books,2001
Primal Heat (Includes: Breeds  #8.5; Devlin Dynasty  #1; Moon Lust  #1),Lora Leigh,4.13,eng,196,3567,5/15/2004,Ellora's Cave,2004
Heat and Dust,Ruth Prawer Jhabvala,3.55,eng,190,6214,4/16/1999,Counterpoint,1999
Holy Cow: An Indian Adventure,Sarah Macdonald,3.53,eng,304,15315,4/13/2004,Broadway Books,2004
Holy Cows and Hog Heaven: The Food Buyer's Guide to Farm Friendly Food,Joel Salatin,4.01,eng,134,292,2/19/2005,Polyface,2005
The History of Love,Nicole Krauss,3.92,eng,255,110082,5/17/2006,Norton,2006
A Brief History of Time,Stephen Hawking,4.17,eng,212,239652,9/1/1998,Bantam Books,1998
A Short History of Nearly Everything,Bill Bryson,4.21,eng,624,352,11/1/2005,Broadway Books,2005
The Politically Incorrect Guide to American History,Thomas E. Woods Jr.,4.03,en-US,270,1604,11/1/2004,Regnery Publishing,2004
A History of the World in 6 Glasses,Tom Standage,3.76,eng,336,14820,5/16/2006,Bloomsbury,2006
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong,3.87,eng,460,38915,3/2/2004,Gramercy Books,2004
The Sun Also Rises,Ernest Hemingway,3.82,eng,8,302,10/17/2006,Simon  Schuster Audio,2006
The Bon Appetit Cookbook,Barbara Fairchild,4.07,eng,816,1816,8/15/2006,Houghton Mifflin Harcourt,2006
The Barefoot Contessa Cookbook,Ina Garten,4.15,eng,256,28789,4/6/1999,Clarkson Potter,1999
Into a Paris Quartier: Reine Margot's Chapel and Other Haunts of St. Germain,Diane Johnson,3.51,eng,204,240,5/1/2005,National Geographic Society,2005
Sylvia,Leonard Michaels,3.86,eng,129,807,5/29/2007,Farrar  Straus and Giroux,2007
The Life Of Dashiell Hammett,Diane Johnson,3.73,eng,344,4,1/23/1984,Vintage/Ebury (A Division of Random House Group),1984
Divorcio a la Francesa: Le Divorce,Diane Johnson,2.88,spa,388,6,6/1/2003,Santillana USA Publishing Company,2003
London is the Best City in America,Laura Dave,3.45,eng,256,2168,5/18/2006,Viking Adult,2006
Hyperion (Los Cantos de Hyperion  #1),Dan Simmons,4.24,spa,618,174,6/1/2005,Ediciones B,2005
The Fall of Hyperion (Hyperion Cantos  #2),Dan Simmons,4.2,eng,632,237,2/20/1992,Headline Book Pub Ltd,1992
Supreme Power: Hyperion,J. Michael Straczynski,3.45,eng,120,232,7/19/2006,Marvel,2006
Die Hyperion-Gesänge,Dan Simmons,4.42,ger,1456,141,8/1/2002,Heyne,2002
La Chute d'Hypérion II,Dan Simmons,4.2,fre,347,21,12/26/2000,Pocket,2000
Endymion,Dan Simmons,4.17,fre,572,29,12/14/1998,Robert Laffont,1998
Olympos (Ilium  #2),Dan Simmons,3.94,eng,891,13300,7/25/2006,Harper Voyager,2006
Ilium (Ilium  #1),Dan Simmons,4.03,eng,752,21973,6/28/2005,HarperTorch,2005
The Terror,Dan Simmons,4.07,eng,769,31711,1/8/2007,Little  Brown and Company,2007
Worlds Enough & Time: Five Tales of Speculative Fiction,Dan Simmons,3.75,eng,272,953,11/26/2002,Harper Voyager,2002
Hard Freeze (Joe Kurtz  #2),Dan Simmons,3.84,eng,320,734,9/15/2003,Minotaur Books,2003
Endymion (Hyperion Cantos  #3),Dan Simmons,4.17,eng,563,38357,12/1/1996,Bantam Spectra,1996
A Winter Haunting (Seasons of Horror  #2),Dan Simmons,3.6,eng,371,6253,12/31/2002,HarperTorch,2002
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,eng,639,165862,8/25/2001,Picador USA,2001
The Amazing Adventures of the Escapist: Volume 1,Michael Chabon,3.46,eng,159,1097,5/18/2004,Dark Horse,2004
The Great House of God,Max Lucado,4.25,eng,240,1101,10/31/2001,Thomas Nelson,2001
The Valkyries,Paulo Coelho,3.31,eng,243,16483,9/6/1999,HarperTorch (an imprint of HarperCollins Publishers),1999
The Devil and Miss Prym (On the Seventh Day  #3),Paulo Coelho,3.61,eng,205,47673,7/3/2006,HarperOne,2006
Nine Stories,J.D. Salinger,4.19,eng,198,112779,1/30/2001,Little  Brown and Company,2001
The Sun Rises: and Other Questions About Time and Seasons,Brenda Walpole,3.94,eng,32,50,9/15/2006,Kingfisher,2006
American Psycho,Bret Easton Ellis,3.82,eng,399,844,4/21/2010,Picador,2010
Lunar Park,Bret Easton Ellis,3.7,eng,404,24618,8/29/2006,Vintage,2006
The Burden of Proof (Kindle County Legal Thriller #2),Scott Turow,4.06,eng,608,32337,12/1/2000,Grand Central Publishing,2000
Godless,Pete Hautman,3.6,eng,208,4213,11/1/2005,Simon  Schuster Books for Young Readers,2005
That Godless Court?: Supreme Court Decisions on Church-State Relationships,Ronald B. Flowers,3.59,en-US,228,12,9/2/2005,Westminster John Knox Press,2005
Soul Mates: Honouring the Mysteries of Love and Relationship,Thomas  Moore,3.99,eng,288,4372,12/13/2013,Harper Perennial,2013
Soul Mates & Twin Flames: The Spiritual Dimension of Love & Relationships (Pocket Guide to Practical Spirituality),Elizabeth Clare Prophet,3.79,en-US,155,141,8/17/2017,Summit University Press,2017
Hot Chocolate for the Mystical Lover: 101 True Stories of Soul Mates Brought Together by Divine Intervention,Arielle Ford,4.08,en-US,412,38,1/1/2001,Plume,2001
Man's Search for Meaning,Viktor E. Frankl,4.36,eng,165,282127,6/1/2006,Beacon Press,2006
Man's Search for Meaning,Viktor E. Frankl,4.36,eng,165,391,3/30/2000,Beacon Press (Boston),2000
In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,4.1,eng,430,3958,2/1/2006,W. W. Norton & Company,2006
Search Engine Optimization for Dummies,Peter Kent,3.79,en-US,382,143,5/1/2006,For Dummies,2006
The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,4.31,eng,321,12563,10/30/1999,Addison-Wesley Professional,1999
Behind Closed Doors: Secrets of Great Management,Johanna Rothman,3.96,en-US,176,840,9/26/2005,Pragmatic Bookshelf,2005
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93,eng,278,832,1/11/2005,Penguin,2005
Blink 182,Anne Hoppus,4.42,eng,112,62,12/1/2001,Plexus Publishing Ltd,2001
I Blink: And Other Questions About My Body,Brigid Avison,3.92,eng,32,36,4/25/2003,Kingfisher,2003
The Great Good Thing (The Sylvie Cycle  #1),Roderick Townley,3.9,en-US,224,1782,9/1/2003,Simon & Schuster Childrens Books,2003
The Great Good Place: Cafes  Coffee Shops  Bookstores  Bars  Hair Salons  and Other Hangouts at the Heart of a Community,Ray Oldenburg,3.83,eng,384,608,8/18/1999,Da Capo Press,1999
Built to Last: Successful Habits of Visionary Companies,James C. Collins,3.99,eng,368,53749,11/2/2004,Harper Business,2004
I Like You: Hospitality Under the Influence,Amy Sedaris,3.88,eng,304,37258,10/16/2006,Warner Books (NY),2006
Children Playing Before a Statue of Hercules,David Sedaris,3.68,eng,344,6490,8/1/2005,Simon & Schuster,2005
Bringing Down The House,Ben Mezrich,3.89,en-GB,320,518,5/6/2004,Arrow,2004
Read for Your Life: 11 Ways to Better Yourself Through Books,Pat Williams,3.7,eng,311,82,6/1/2007,Hci,2007
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,Efrem Smith,3.91,eng,227,21,12/15/2005,IVP Books,2005
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Tom Stanton,4.16,eng,256,216,5/8/2002,St. Martin's Griffin,2002
The Cold Six Thousand (Underworld USA #2),James Ellroy,4.01,eng,688,5642,6/11/2002,Vintage,2002
White Teeth,Zadie Smith,3.77,eng,542,4202,1/25/2001,Penguin Books,2001
White Teeth,Zadie Smith,3.77,eng,448,81,6/1/2001,Turtleback Books,2001
White Teeth,Zadie Smith,3.77,en-GB,542,1265,11/30/2000,Penguin,2000
Schiffbruch mit Zuschauer. Paradigma einer Daseinsmetapher,Hans Blumenberg,3.93,ger,106,6,5/27/1997,Suhrkamp,1997
The Guide to Dan Brown's the Solomon Key,Greg  Taylor,2.98,en-US,183,34,9/30/2005,DeVorss & Company,2005
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,en-US,756,3645,3/28/2006,Random House Large Print,2006
Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,en-US,528,1192,5/3/2005,Atria Books,2005
The Illuminati,Larry Burkett,3.71,eng,352,60,10/4/2004,Thomas Nelson,2004
The Illuminati Papers,Robert Anton Wilson,3.83,en-US,168,710,12/11/1997,Ronin Publishing (CA),1997
The Da Vinci Code,Dan Brown,3.84,eng,489,13934,3/28/2006,Anchor,2006
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,eng,0,91,3/28/2006,Random House Audio,2006
El código Da Vinci (Robert Langdon  #2),Dan Brown,3.84,spa,557,3276,10/17/2003,Umbriel,2003
Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus  Mary Magdalene & Constantine,Bart D. Ehrman,3.64,en-US,207,533,5/18/2006,Oxford University Press  USA,2006
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,eng,480,3141,7/1/2008,Bloomsbury UK,2008
Housekeeping vs. the Dirt,Nick Hornby,3.88,eng,153,2636,9/13/2006,McSweeney's,2006
The Polysyllabic Spree,Nick Hornby,3.73,eng,143,6828,11/30/2004,McSweeney's,2004
Songbook,Nick Hornby,3.56,eng,207,10066,10/7/2003,Riverhead Books,2003
My Favorite Year: A Collection of Football Writing,Nick Hornby,3.68,eng,288,393,8/1/2001,Orion Publishing,2001
Fever Pitch,Nick Hornby,3.74,eng,247,28830,3/1/1998,Riverhead Books,1998
High Fidelity,Nick Hornby,3.94,en-US,323,827,3/1/2000,Riverhead Books,2000
About a Boy,Nick Hornby,3.8,eng,278,825,4/4/2002,Penguin,2002
The Complete Polysyllabic Spree,Nick Hornby,3.59,eng,278,450,9/7/2006,Viking,2006
Medicus (Gaius Petreius Ruso  #1),Ruth Downie,3.73,eng,386,5723,3/6/2007,Bloomsbury Publishing PLC,2007
Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5.0,eng,128,2,3/17/2003,Arcadia Publishing,2003
David Foster Wallace's Infinite Jest: A Reader's Guide,Stephen J. Burn,3.82,en-GB,96,900,5/20/2003,Bloomsbury Academic,2003
Scar Tissue,Anthony Kiedis,4.11,en-US,465,327,10/6/2004,Hachette Books,2004
Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,3.82,fre,85,975,6/13/2001,Albin Michel,2001
Zaat,Sonallah Ibrahim,3.55,ara,349,122,3/15/2004,American University in Cairo Press,2004
Dreamland,Sarah Dessen,3.91,eng,250,70043,5/11/2004,Speak,2004
End Game (Dreamland  #8),Dale Brown,4.02,eng,432,327,10/31/2006,HarperTorch,2006
H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),Chris  Williams,3.97,eng,260,98,2/2/2008,Chaosium,2008
Dreamland (Dreamland  #1),Dale Brown,3.9,eng,375,1313,7/2/2001,HarperCollins Publishers Ltd,2001
Satan's Tail (Dreamland  #7),Dale Brown,4.0,eng,405,339,7/26/2005,HarperTorch,2005
The Zanzibar Chest,Aidan Hartley,4.01,en-US,496,2218,8/3/2004,Riverhead Books,2004
Dispatches from the Edge: A Memoir of War  Disasters  and Survival,Anderson Cooper,3.96,eng,212,7205,5/23/2006,Harper,2006
Dispatches,Michael Herr,4.23,eng,260,13108,8/6/1991,Vintage,1991
Dispatch,Bentley Little,3.62,en-US,386,1291,10/4/2005,Signet,2005
Dispatches from the Tenth Circle: The Best of the Onion,Robert D. Siegel,4.21,eng,174,3472,9/4/2001,Three Rivers Press,2001
Hello! Is That Grandma?,Ian Whybrow,3.53,en-GB,32,57,5/7/2007,Alison Green Books,2007
